Default Unit of Measure ,Item Code           ,Item Name                       ,Item Group         ,Valuation Rate ,Allow Alternative Item ,Allow Negative Stock ,Allow Purchase ,Allow Sales ,Description                                                                                                                                                                  ,Has Batch No ,Has Serial No ,Include Item In Manufacturing ,Is Fixed Asset ,Maintain Stock ,Standard Selling Rate ,Warranty Period (in days) ,Weight Per Unit ,Weight UOM ,Serial Number Series ,Batch Number Series ,Default Expense Account (Item Defaults)
Nos                     ,STO-COMP-2024-B008  ,Race Ceramic Bremsbeläge        ,Fahrradkomponenten ,         34.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-Performance Bremsbeläge mit Keramik-Compound, optimierte Wärmeableitung, geringer Verschleiß, für Shimano-kompatibel"                                                  ,           1 ,              ,                            1 ,             0 ,             1 ,                59.99 ,                      365 ,          0.08  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B009  ,MTB Sinter Bremsbeläge Pro      ,Fahrradkomponenten ,         24.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gesinterte Bremsbeläge für MTB/E-MTB, hohe Bremsleistung bei Nässe, langlebig, SRAM/Magura-kompatibel"                                                                      ,           1 ,              ,                            1 ,             0 ,             1 ,                49.99 ,                      365 ,          0.04  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-B010  ,Carbon Race Fork Pro            ,Fahrradkomponenten ,        399.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Carbon-Rennradgabel, Flatmount Bremsaufnahme, 12mm Steckachse, integrierte Kabelführung, 350g"                                                                      ,           1 ,              ,                            1 ,             0 ,             1 ,               799.99 ,                      730 ,          0.35  ,Kg         ,                     ,BRAKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D001  ,Race Di2 Schaltgruppe           ,Fahrradkomponenten ,       1299.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium elektronische 12-fach Rennrad-Schaltgruppe, Schaltwerk, Umwerfer, Hebel, Semi-Wireless, programmierbares Schaltverhalten"                                           ,           1 ,              ,                            1 ,             0 ,             1 ,              2599.99 ,                      730 ,          0.89  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D002  ,MTB AXS Schaltgruppe Pro        ,Fahrradkomponenten ,        999.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-End elektronische MTB 12-fach Schaltgruppe, Wireless, Mullet-Setup möglich, optimierte Kettenführung, 52T Kapazität"                                                   ,           1 ,              ,                            1 ,             0 ,             1 ,              1999.99 ,                      730 ,          0.92  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D003  ,Gravel GRX Di2 Set              ,Fahrradkomponenten ,        899.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gravel-spezifische elektronische 11-fach Schaltgruppe, Clutch-Technologie, erweiterte Übersetzungsbandbreite, Schmutzresistent"                                             ,           1 ,              ,                            1 ,             0 ,             1 ,              1799.99 ,                      730 ,          0.95  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D004  ,Race Carbon Kurbel Pro          ,Fahrradkomponenten ,        449.99 ,                     1 ,                   0 ,             1 ,          1 ,"Ultra-leichte Carbon-Rennradkurbel, 172.5mm, 52/36T, Hollow-Tech II kompatibel, integrierter Powermeter-Ready"                                                              ,           1 ,              ,                            1 ,             0 ,             1 ,               899.99 ,                      730 ,          0.62  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D005  ,MTB Carbon Kurbel Elite         ,Fahrradkomponenten ,        399.99 ,                     1 ,                   0 ,             1 ,          1 ,"MTB Carbon-Kurbel, 175mm, Direct Mount, 32T, Boost-kompatibel, Q-Faktor 168mm, verstärkte Pedalgewinde"                                                                     ,           1 ,              ,                            1 ,             0 ,             1 ,               799.99 ,                      730 ,          0.58  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D006  ,E-Bike Kurbel Advanced          ,Fahrradkomponenten ,        129.99 ,                     1 ,                   0 ,             1 ,          1 ,"E-Bike optimierte Aluminium-Kurbel, 165mm, verstärkte Ausführung, ISIS-Drive, Q-Faktor 180mm, E-Bike zertifiziert"                                                          ,           1 ,              ,                            1 ,             0 ,             1 ,               259.99 ,                      730 ,          0.78  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D007  ,Race Kassette 12-fach Pro       ,Fahrradkomponenten ,        249.99 ,                     1 ,                   0 ,             1 ,          1 ,"Hochwertige 12-fach Rennrad-Kassette, 11-30T, CNC-gefräste Stahlritzel, Aluminium-Spider, 245g"                                                                             ,           1 ,              ,                            1 ,             0 ,             1 ,               499.99 ,                      365 ,          0.25  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D008  ,MTB Kassette 12-fach Elite      ,Fahrradkomponenten ,        199.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium MTB 12-fach Kassette, 10-52T, XD-Driver, beschichtete Stahlritzel, Aluminium-Carrier, 385g"                                                                         ,           1 ,              ,                            1 ,             0 ,             1 ,               399.99 ,                      365 ,          0.39  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D009  ,Race Chain 12-speed Pro         ,Fahrradkomponenten ,         69.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-Performance 12-fach Kette, Hohlnietentechnologie, Titannitrid-Beschichtung, 242g (114 Glieder)"                                                                        ,           1 ,              ,                            1 ,             0 ,             1 ,               129.99 ,                      365 ,          0.32  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-D010  ,E-MTB Chain 12-speed Heavy Duty ,Fahrradkomponenten ,         49.99 ,                     1 ,                   0 ,             1 ,          1 ,"Verstärkte E-MTB 12-fach Kette, verlängerte Haltbarkeit, optimierte Schaltperformance unter Last, 278g (114 Glieder)"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,                99.99 ,                      365 ,          0.28  ,Kg         ,                     ,DRIVE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E001  ,Performance CX Motor Pro        ,Fahrradkomponenten ,        899.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Mittelmotor, 85Nm max. Drehmoment, 250W Nennleistung, Smart System Ready, Auto-Mode, Extended Range Support bis 120 upm"                                            ,           1 ,              ,                            1 ,             0 ,             1 ,              1799.99 ,                      730 ,          2.9   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E002  ,Active Line Plus Motor          ,Fahrradkomponenten ,        499.99 ,                     1 ,                   0 ,             1 ,          1 ,"City/Trekking Mittelmotor, 50Nm max. Drehmoment, 250W Nennleistung, leise Laufcharakteristik, optimaler Wirkungsgrad"                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,               999.99 ,                      730 ,          3.2   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E003  ,Cargo Drive Unit Plus           ,Fahrradkomponenten ,        799.99 ,                     1 ,                   0 ,             1 ,          1 ,"Cargo-optimierter Mittelmotor, 85Nm max. Drehmoment, verstärkte Ausführung, Anhängerlast bis 200kg, Temperaturüberwachung"                                                  ,           1 ,              ,                            1 ,             0 ,             1 ,              1599.99 ,                      730 ,          3.4   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E004  ,PowerTube 750 Battery Pro       ,Fahrradkomponenten ,        599.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium integrierter Akku, 750Wh Kapazität, Smart System kompatibel, Schnellladefunktion, BMS 2.0, 4A Ladestrom"                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,              1199.99 ,                      730 ,          3.7   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E005  ,PowerPack 500 Battery           ,Fahrradkomponenten ,        399.99 ,                     1 ,                   0 ,             1 ,          1 ,"Rahmenakku, 500Wh Kapazität, Universal-Mount System, 3A Ladestrom, integrierte Kapazitätsanzeige"                                                                           ,           1 ,              ,                            1 ,             0 ,             1 ,               799.99 ,                      730 ,          2.8   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E006  ,DualBattery Adapter Kit         ,Fahrradkomponenten ,        149.99 ,                     1 ,                   0 ,             1 ,          1 ,"Adapter für Zweitakku-System, kompatibel mit PowerTube/PowerPack, inkl. Verkabelung und Steuerung"                                                                          ,           1 ,              ,                            1 ,             0 ,             1 ,               299.99 ,                      730 ,          0.4   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E007  ,Smart Display Pro               ,Fahrradkomponenten ,        249.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium E-Bike Display, 3.5 Zoll Farb-Display, Bluetooth/ANT+, Navigation, Fitness-Tracking, Smartphone-Integration"                                                        ,           1 ,              ,                            1 ,             0 ,             1 ,               499.99 ,                      730 ,          0.3   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E008  ,LED Remote Control Plus         ,Fahrradkomponenten ,         89.99 ,                     1 ,                   0 ,             1 ,          1 ,"Kompakte LED-Fernbedienung, ergonomisches Design, 5 Unterstützungsstufen, Walk-Assist, Bluetooth"                                                                           ,           1 ,              ,                            1 ,             0 ,             1 ,               179.99 ,                      730 ,          0.045 ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E009  ,Smart System Controller         ,Fahrradkomponenten ,        179.99 ,                     1 ,                   0 ,             1 ,          1 ,"E-Bike Systemcontroller, Smart Features, Over-the-Air Updates, Diebstahlschutz, Activity Tracking"                                                                          ,           1 ,              ,                            1 ,             0 ,             1 ,               359.99 ,                      730 ,          0.2   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-E010  ,Fast Charger Pro                ,Fahrradkomponenten ,        129.99 ,                     1 ,                   0 ,             1 ,          1 ,"Schnellladegerät 6A, aktive Kühlung, Smart Charging Technologie, LED-Statusanzeige, kompaktes Design"                                                                       ,           1 ,              ,                            1 ,             0 ,             1 ,               259.99 ,                      730 ,          0.8   ,Kg         ,                     ,EBIKE-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F001  ,Race Carbon Frame Pro           ,Fahrradkomponenten ,       1499.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Carbon-Rennradrahmen, UCI-zertifiziert, integrierte Kabelführung, aerodynamisch optimiert, BB386EVO, Disc-only, 820g (Größe 54)"                                    ,           1 ,              ,                            1 ,             0 ,             1 ,              2999.99 ,                     3650 ,          0.82  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F002  ,MTB Carbon Frame Elite          ,Fahrradkomponenten ,       1299.99 ,                     1 ,                   0 ,             1 ,          1 ,"High-End Carbon MTB Rahmen, Boost 148x12mm, interne Zugführung, Carbon-Lagersitze, Größen: S-XL, 1180g (Größe M)"                                                           ,           1 ,              ,                            1 ,             0 ,             1 ,              2599.99 ,                     3650 ,          1.18  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F003  ,E-MTB Carbon Frame Advanced     ,Fahrradkomponenten ,       1599.99 ,                     1 ,                   0 ,             1 ,          1 ,"E-MTB Carbon-Rahmen, Shimano EP8/Bosch Gen4 kompatibel, integrierte Batterie-Aufnahme, verstärkte Lagerpunkte, 2400g (Größe M)"                                             ,           1 ,              ,                            1 ,             0 ,             1 ,              3199.99 ,                     3650 ,          2.40  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F004  ,Gravel Carbon Frame Pro         ,Fahrradkomponenten ,       1199.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Gravel-Rahmen Carbon, Reifenfreiheit bis 45mm, Mounting-Points für Bikepacking, Flatmount Disc, 890g (Größe 54)"                                                    ,           1 ,              ,                            1 ,             0 ,             1 ,              2399.99 ,                     3650 ,          0.89  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F005  ,City E-Bike Frame Comfort       ,Fahrradkomponenten ,        699.99 ,                     1 ,                   0 ,             1 ,          1 ,"Aluminium E-City-Bike Rahmen, tiefem Einstieg, Bosch Gen4 Integration, Gepäckträger-Aufnahme, Größen: S-L, 2900g (Größe M)"                                                 ,           1 ,              ,                            1 ,             0 ,             1 ,              1399.99 ,                     1825 ,          2.90  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F006  ,Race Carbon Fork Pro            ,Fahrradkomponenten ,        549.99 ,                     1 ,                   0 ,             1 ,          1 ,"Premium Carbon-Rennradgabel, Flatmount Disc, 12mm Steckachse, interne Zugführung, aerodynamisch optimiert, 350g"                                                            ,           1 ,              ,                            1 ,             0 ,             1 ,               899.99 ,                     3650 ,          0.35  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F007  ,MTB Carbon Fork Elite           ,Fahrradkomponenten ,        599.99 ,                     1 ,                   0 ,             1 ,          1 ,"Carbon MTB-Gabel, 29 Zoll, Boost 110x15mm, 44mm Offset, Tapered Schaft, Federwegssimulation, 580g"                                                                          ,           1 ,              ,                            1 ,             0 ,             1 ,              1199.99 ,                     1825 ,          0.58  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F008  ,Gravel Carbon Fork Advanced     ,Fahrradkomponenten ,        449.99 ,                     1 ,                   0 ,             1 ,          1 ,"Gravel-spezifische Carbongabel, Anything-Cage Montage-Points, 12mm Steckachse, Flatmount, 400g"                                                                             ,           1 ,              ,                            1 ,             0 ,             1 ,               899.99 ,                     1825 ,          0.40  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F009  ,Race Aluminium Frame Pro        ,Fahrradkomponenten ,        399.99 ,                     1 ,                   0 ,             1 ,          1 ,"Hochwertiger Aluminium-Rennradrahmen, Triple-butted 6069, Race-Geometrie, BSA Innenlager, 1250g (Größe 54)"                                                                 ,           1 ,              ,                            1 ,             0 ,             1 ,               799.99 ,                     1825 ,          1.25  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-COMP-2024-F010  ,MTB Aluminium Frame Sport       ,Fahrradkomponenten ,        299.99 ,                     1 ,                   0 ,             1 ,          1 ,"MTB Aluminium-Rahmen, 6061-T6, moderne Trail-Geometrie, Boost-Standard, Tapered Steuerrohr, 1680g (Größe M)"                                                                ,           1 ,              ,                            1 ,             0 ,             1 ,               599.99 ,                     1825 ,          1.68  ,Kg         ,                     ,FRAME-2024-         ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-BIKE-2024-0003  ,Velo Gravel Adventure           ,Fahrräder          ,       4334.89 ,                     1 ,                   0 ,             0 ,          1 ,"Vielseitiges Gravel-Bike mit Shimano GRX Ausstattung. Perfekt für Abenteuer auf und abseits der Straße."                                                                    ,             ,            1 ,                            1 ,             0 ,             1 ,              7499.99 ,                      730 ,          8.9   ,Kg         ,BIKE-2024-           ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
Nos                     ,STO-BIKE-2024-0004  ,Velo Trekking Tour              ,Fahrräder          ,       2874.89 ,                     1 ,                   0 ,             0 ,          1 ,"Solides Trekking-Bike mit Shimano Deore Ausstattung. Zuverlässiger Begleiter für Touren und Alltag."                                                                        ,             ,            1 ,                            1 ,             0 ,             1 ,              4999.99 ,                      730 ,          9.2   ,Kg         ,BIKE-2024-           ,                    ,"5000 - Aufwendungen f. Roh-, Hilfs- und Betriebsstoffe und f. bezogene Waren - B"
