Sr;Label;Type;Name;Mandatory;Options;Default;Fetch From;Display Depends On (JS);;;;;;;;;;;;;
1;Series;Select;naming_series;;SUP-.YYYY.-;;;;;;;;;;;;;;;;
2;Supplier Name;Data;supplier_name;x;;;;;;;;;;;;;;;;;
3;Country;Link;country;;Country;;;;;;;;;;;;;;;;
4;;Column Break;column_break0;;;;;;;;;;;;;;;;;;
5;Supplier Group;Link;supplier_group;;Supplier Group;;;;;;;;;;;;;;;;
6;Supplier Type;Select;supplier_type;x;Company;Company;;;;;;;;;;;;;;;
7;Is Transporter;Check;is_transporter;;;0;;;;;;;;;;;;;;;
8;Image;Attach Image;image;;;;;;;;;;;;;;;;;;
9;Defaults;Section Break;defaults_section;;;;;;;;;;;;;;;;;;
10;Billing Currency;Link;default_currency;;Currency;;;;;;;;;;;;;;;;
11;Default Company Bank Account;Link;default_bank_account;;Bank Account;;;;;;;;;;;;;;;;
12;;Column Break;column_break_10;;;;;;;;;;;;;;;;;;
13;Price List;Link;default_price_list;;Price List;;;;;;;;;;;;;;;;
14;Internal Supplier;Section Break;internal_supplier_section;;;;;;;;;;;;;;;;;;
15;Is Internal Supplier;Check;is_internal_supplier;;;0;;;;;;;;;;;;;;;
16;Represents Company;Link;represents_company;;Company;;;is_internal_supplier;;;;;;;;;;;;;
17;;Column Break;column_break_16;;;;;;;;;;;;;;;;;;
18;Allowed To Transact With;Table;companies;;Allowed To Transact With;;;represents_company;;;;;;;;;;;;;
19;More Information;Section Break;column_break2;;;;;;;;;;;;;;;;;;
20;Supplier Details;Text;supplier_details;;;;;;;;;;;;;;;;;;
21;;Column Break;column_break_30;;;;;;;;;;;;;;;;;;
22;Website;Data;website;;;;;;;;;;;;;;;;;;
23;Print Language;Link;language;;Language;;;;;;;;;;;;;;;;
24;Dashboard;Tab Break;dashboard_tab;;;;;;;;;;;;;;;;;;
25;Tax;Tab Break;tax_tab;;;;;;;;;;;;;;;;;;
26;Tax ID;Data;tax_id;;;;;;;;;;;;;;;;;;
27;;Column Break;column_break_27;;;;;;;;;;;;;;;;;;
28;Tax Category;Link;tax_category;;Tax Category;;;;;;;;;;;;;;;;
29;Tax Withholding Category;Link;tax_withholding_category;;Tax Withholding Category;;;;;;;;;;;;;;;;
30;Address & Contact;Tab Break;contact_and_address_tab;;;;;;;;;;;;;;;;;;
31;Address and Contacts;Section Break;address_contacts;;fa fa-map-marker;;;eval:!doc.__islocal;;;;;;;;;;;;;
32;Address HTML;HTML;address_html;;;;;;;;;;;;;;;;;;
33;;Column Break;column_break1;;;;;;;;;;;;;;;;;;
34;Contact HTML;HTML;contact_html;;;;;;;;;;;;;;;;;;
35;Primary Address and Contact;Section Break;primary_address_and_contact_detail_section;;;;;;;;;;;;;;;;;;
36;;Column Break;column_break_44;;;;;;;;;;;;;;;;;;
37;Supplier Primary Address;Link;supplier_primary_address;;Address;;;;;;;;;;;;;;;;
38;Primary Address;Text;primary_address;;;;;;;;;;;;;;;;;;
39;;Column Break;column_break_mglr;;;;;;;;;;;;;;;;;;
40;Supplier Primary Contact;Link;supplier_primary_contact;;Contact;;;;;;;;;;;;;;;;
41;Mobile No;Read Only;mobile_no;;;;supplier_primary_contact.mobile_no;;;;;;;;;;;;;;
42;Email Id;Read Only;email_id;;;;supplier_primary_contact.email_id;;;;;;;;;;;;;;
43;Accounting;Tab Break;accounting_tab;;;;;;;;;;;;;;;;;;
44;Default Payment Terms Template;Link;payment_terms;;Payment Terms Template;;;;;;;;;;;;;;;;
45;Default Accounts;Section Break;default_accounts_section;;;;;;;;;;;;;;;;;;
46;Accounts;Table;accounts;;Party Account;;;;;;;;;;;;;;;;
47;Settings;Tab Break;settings_tab;;;;;;;;;;;;;;;;;;
48;Allow Purchase Invoice Creation Without Purchase Order;Check;allow_purchase_invoice_creation_without_purchase_order;;;0;;;;;;;;;;;;;;;
49;Allow Purchase Invoice Creation Without Purchase Receipt;Check;allow_purchase_invoice_creation_without_purchase_receipt;;;0;;;;;;;;;;;;;;;
50;;Column Break;column_break_54;;;;;;;;;;;;;;;;;;
51;Is Frozen;Check;is_frozen;;;0;;;;;;;;;;;;;;;
52;Disabled;Check;disabled;;;0;;;;;;;;;;;;;;;
53;Warn RFQs;Check;warn_rfqs;;;0;;;;;;;;;;;;;;;
54;Warn POs;Check;warn_pos;;;0;;;;;;;;;;;;;;;
55;Prevent RFQs;Check;prevent_rfqs;;;0;;;;;;;;;;;;;;;
56;Prevent POs;Check;prevent_pos;;;0;;;;;;;;;;;;;;;
57;Block Supplier;Section Break;block_supplier_section;;;;;;;;;;;;;;;;;;
58;Block Supplier;Check;on_hold;;;0;;;;;;;;;;;;;;;
59;Hold Type;Select;hold_type;;All;;;eval:doc.on_hold;;;;;;;;;;;;;
60;;Column Break;column_break_59;;;;;;;;;;;;;;;;;;
61;Release Date;Date;release_date;;;;;eval:doc.on_hold;;;;;;;;;;;;;
62;Portal Users;Tab Break;portal_users_tab;;;;;;;;;;;;;;;;;;
63;Supplier Portal Users;Table;portal_users;;Portal User;;;;;;;;;;;;;;;;
64;;Column Break;column_break_1mqv;;;;;;;;;;;;;;;;;;